comment_text,toxic
you are so weird,1
"No, thank you.",0
Please write it down.,0
Oy vey this is pathetic,1
P*ss off!,1
you know what I don' give a damm,1
bullying is all you know,1
my dislike for you is increasing day by day ,1
You are making a difference every day  ,0
How stupid!,1
Don’t worry,0
Can you translate this for me?,0
I will kill you ,1
You make a positive difference in the world  ,0
You are a cancer,1
It really takes time,0
you are a totall douche!!,1
You have a lovely home Jack.,0
you lknow what I am allergic to bitches,1
You're very smart.,0
wtf! What do you mean?,1
You are a failure! I ant be your friend,1
Bull-shit,1
You are loved and appreciated  ,0
Good morning,0
Did you make this from scratch?,0
peace out stupid bitch,1
You have a lovely home Jack.,0
You are a arsehole,1
It doesn’t matter.,0
Shit-faced creature,1
Your kids are a lot of fun.,0
why don’t you just go back where you came from? ” like hell,1
why are you so mean?,1
We like it very much.,0
You are a ass,1
Shut up,0
I'm cleaning my room.,0
I decline!,0
I'm thirsty.,0
This tie looks nice on you.,0
You are an important voice in this world  ,0
they should be punished.i hate them,1
they are toxic substances,1
"Cool glasses, totally suit you.",0
You are making a difference  ,0
Don’t be so childish,0
you look like shit,1
How kind of you to say so.,0
You are a crime,1
"No, thank you.",0
You are making a positive impact in this world  ,0
Blockhead!,1
Such a useless fellow,1
Cheer up!,0
"I'm sorry, we're sold out.",0
You are going too fast,0
You have a beautiful and unique spirit  ,0
I cont seem to like you you are so ugly its ruin my day,1
you fucking dumb bitch,1
Thanks for your help.,0
That was delicious. My compliments to the chef!,0
why r u insulting him?,1
You have a positive influence on others  ,0
you are a cheating bastard,1
Be careful driving.,0
You are a retard,1
"Stay focused, you will get there  ",0
are you mad? Why are you being so much bitch?,1
You are an inspiration to others  ,0
can you stop talking asshole,1
So so,0
I wish you were dead,1
you ignorant  shitty person,1
Thank you miss.,0
I'll come back later.,0
You have a unique and valuable perspective  ,0
why are you so mean?,1
Everyone knows it.,0
I I know I have no right to say but he is asshole,1
Would you take a message please?,0
You’re a fantastic cook.,0
You have a bright future ahead  ,0
terrible people  with terrible thinking,1
"Wow, you look hot!",0
cannt help a wanker,1
I like your new haircut.,0
I I know I have no right to say but he is asshole,1
Good afternoon,0
you asshole! How could you do that don’t you have common sense,1
Spread kindness and positivity today  ,0
You look amazing!,0
WTF!! Who are you,1
That's not fair.,0
See you later.,0
you piece of shit how coluld you do that,1
Go Fuck Yourself you asshole,1
You are capable of great things  ,0
I’m at home,0
The dish is delicious.,0
Have a good trip,0
you look like shit,1
 violence is all you know right,1
that cheating! You cant do that,1
you are an idiot! I hope you learned your lession,1
"Stay true to yourself, it sets you apart  ",0
So I do,0
I do not understand,0
It’s nice of you to say so.,0
you bitch shut up,1
they are toxic substances,1
you bitch shut up,1
You have a beautiful home.,0
That's not fair.,0
you are bastard,1
See you tomorrow.,0
He/she’s so cute!,0
I’m on a diet,0
Not yet.,0
