comment_text,toxic
"Thanks to all for taking my rather offhand comment seriously.  To reiterate my original explanatoin to James: I'm interested in this more on a meta level (how do we approach controversial subjects) than out of deep feelings one way or the other towards Moore and his film; that is, I'm trying to see the forest of making a good article on the film rather than the trees of every factual detail within the film that contributors might have multiple viewpoints about.  For an encyclopedia based around the concept of a Neutral Point of View, any attempt to either counter or defend the content of a subject that is, in itself, an editorial statment seems wrong; such discussions wind up as parasites draining the life and meaning out of an otherwise useful article.  See, for example, something like Roe v. Wade  there's no need to use that article to debate all the pros and cons of the subject involved  there are other articles for that linked at the bottom  just state the facts about the case.  Even if you really consider Moore's movie to be completely indefinsible propaganda (and to risk the Wiki-equivalent of Godwin's Law here), note that the article on Triumph of the Will doesn't feel the need to explain all the reasons why Nazi Germany wasn't all it was cracked up to be.   Similarly, shouldn't we just describe the content of the movie (noting that it is controversial), and then if we want an article about the Bin Laden family departure or whatever we can put the facts about that subject there?   20:19, 5 Jul 2004 (UTC)",0
"Yep, and after you vandalized it again, I re-reverted it, dipshit.",1
"Idiot

Blanche Barrow was not hit in the face with glass at Dexfield Park. Where did you get this bullshit?",1
"My side of the story

Attention, douchebags and douchetees. I have been labled as a Terrorist on this site. BULL TO THE SHIT! I simply have a vast amount of knowlege on a wide range of topics. Scjessey, for example did not mention he is a fucking douchebag on his article. So I had to ammend this. I was simply trying to spread the truth. ALLLALLALALALALALAlAlALAALALAALALALALALAl. Sorry. I have to do that every 5 minutes or I go to hell. ALLALALALALALALALALALALALALALALLALALALALALLLALALALA ALLAH 4EVER!",1
"""
""""IMDb content is user-submitted and often subject to incorrect speculation and rumor. The use of the IMDb on Wikipedia for referencing is considered unacceptable and strongly discouraged.""""Wikipedia:WikiProject Film/Resources
""""...self-published media...are largely not acceptable. This includes any website whose content is largely user-generated, including the Internet Movie Database (IMDB)...""""WP:USERG
As I've said, this is a long-standing consensus. If you disagree, I encourage you to take it up at Wikipedia:Reliable_sources/Noticeboard. -   """,0
"Edit request from 174.3.185.61, 28 June 2010 

Mauler90 is a shit faggot 

174.3.185.61",1
Omg i love Dch!!! Who doesn't???!!! I love Pac Sun!!!,0
"Take care not to believe your own bullshit, see On Bullshit.  99.184.231.227",1
"}}
{{WikiProject New Zealand
 |class=C
 |importance=low
 |politics=yes
 |politics-importance=low",0
I'm very upset that you've done this to me and ur a big shithead !!!!! I think that ur probbly black bcuz ur stupid,1
Try the official website then - shit head!,1
I insulted people on en.wiki with criteria to provoke my filter set. You are simply abusing the power people handed over.,0
"Concerning Your Worthlessness 

Please don't touch the LCI article.  What is it with you folks?  The Lethbridge COllegiate Institute article was created by another student at this school, thus you do not have permission to edit Wikipedia anymore.  Just fuck off.  Thank you for your time you piece of shit. Goodbye.  Go to the bathroom, calmly tie a towel around your neck, and place it over the shower.  Stop breathing.  Bye.",1
"""

 SR/CL: 

U bud bin A-way. Like long time like time outa mind long.  Gooood shit but mo' latah an dat.  Soon az Ah gitz back heah sum a de brotherz 'n sistahs 
sez """"Hance dead or alive?  We're about to send a Zion Ranger to check on his condition.""""  Ah sez """"Whoa! Led me gib him a holler.""""  Dis me hollerin Bro. 
De Zion Rangerz be dem dat do most a' de walkin tru wallz.  Not all but most. De wall walkin dude ain gonna do R Bro no harm, he jes be checkin.  
EE-ben so a gentle remindah kum fuhst.  U be readin id. A leedle postin a dis 'n dat go down GOOD.  Doan fohget to cut sum ZZzz aftah a tad a postin. 
Sleep good 'n doan fergit ta dream. Sumptin might kum jes ta BDH all wrapt roun wid delta wave 'n a kupla otha' carrierz what we diz-cuss lAtah. Chow, Bro.""",1
"MILLINOS OF HUNJAN looking at hunjan template not just me other hunjan will fight back, your concept of art bull of shit!! 86.166.250.11   tharkarn and what waste man!",1
"Here we go again, same idiot reverting my changes in a pathetic attempt to make Filipinos look Hispanic.   PacificWarrior101",1
"And next time, actually first create the voting page for an AFD before bothering an editor who did hard work creating an article so you don’t waste so much of another human being’s time. I’m too busy in real life making money and paying taxes to bother with this shit.",1
"Your retarded bot 

Your bot is entirely automated, that is wrong.  You should not leave an unattented script just running through the site like that, it is idiotic of you to suppose that your scripting abilities are so perfect that they will only ever make proper edits.  Banning me doesn't help anything, dipshit, since I have as many IPs as I want.",1
"Useless piece of shit 

You're an asshole, you useless piece of shit. Get a life, instead of deleting pages of loved ones who never did anything to harm you. Motherfuker.",1
"Ion G Nemes|talk]]) 04:08, 21 June 2011",0
"""

 Barbarians 

The Chinese as a country are nothing but disgusting barbarians. I highly recommend every and all Chinese people to flee the horrors of the CCP before they come for YOU next! Its now official, over 20,000 Falun Gong have been murdered in this genocide but the official numbers are not certain due to the """"iron curtain"""" around China. We haven't seen such destruction and genocide since the Soviet Union! Those damn Chinese. I feel bad for the Falun Gong. I hope every CCP dies of a horrible skin disease.""",1
"You are the troll, you mindless robotic piece of shit. 

All you Wikipedia fanatics are anti-Semitic vermin.",1
you are good boy,0
beautiful,0
great,0
he is awesome,0
she is great person,0
she is great person,0
she is great person,0
she is great person,0
she is great person,0
she is great person,0
you are bad boy fuck you,1
you are bad boy fuck you,1
you are bad boy fuck you,1
bitch get lost,1
bitch get lost,1
bitch get lost,1
you shit,1
you shit,1
you shit,1
